ID,ID_ORIG,SPECIES,VHF_Deploy_ID,UNIQUE_ID,YEAR,DATE_LOC,DATE2,TAG_ID,UTC_OFFSET,UTC,DET_LOC,TIME_LOC,HR_LOC,MIN_LOC,SEC_LOC,LAT,LONG,OUT,SEX,GPS,FREQ,LOCATION,LOCATION2,BRD,DET_,UTM_E,UTM_N,UTM_ZONE,ACTIVITY,ERROR,SCAN_STA,SCAN_STO,TYPE_LOC,CONTACT,OBSERVER,BEARING,DISTANCE,STATUS,DIVING,u_easting,v_northing,u_wind,v_wind,DISTTOPN
4987,48,ASSP,1,ASSP_2004_1000,2004,38222,,1000,7,38222.94265,,15:37:25,15,37,25,35.0836,-121.5848,,,,4233,Santa Barabara Island,SABA,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4997,58,ASSP,2,ASSP_2004_1045,2004,38223,,1045,7,38223.75378,,11:05:27,11,05,27,35.638,-121.9358,,,,4355,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4966,27,ASSP,3,ASSP_2004_1053,2004,38204,,1053,7,38204.86299,,13:42:42,13,42,42,34.7663,-121.3694,,,,4373,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
5020,81,ASSP,4,ASSP_2004_1057,2004,38252,,1057,7,38252.77603,,11:37:29,11,37,29,35.4488,-121.9989,,,,4122,Santa Barabara Island,SABA,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4988,49,ASSP,5,ASSP_2004_1096,2004,38222,,1096,7,38222.94843,,15:45:44,15,45,44,34.9285,-121.8476,,,,4632,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
5009,70,ASSP,6,ASSP_2004_1103,2004,38232,,1103,7,38233.00035,,17:00:30,17,00,30,36.7611,-121.9409,,,,4381,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
5011,72,ASSP,7,ASSP_2004_1106,2004,38238,,1106,7,38238.96082,,16:03:35,16,03,35,37.8695,-123.1176,,,,4680,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
5021,82,ASSP,8,ASSP_2004_1125,2004,38252,,1125,7,38252.77955,,11:42:33,11,42,33,35.571,-121.8854,,,,4202,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
5022,83,ASSP,9,ASSP_2004_1132,2004,38252,,1132,7,38252.77995,,11:43:08,11,43,08,35.523,-121.9318,,,,4302,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4974,35,ASSP,10,ASSP_2004_1149,2004,38220,,1149,7,38220.82352,,12:45:52,12,45,52,34.8976,-121.3276,,,,4103,Santa Barabara Island,SABA,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4942,3,ASSP,11,ASSP_2004_1172,2004,38192,,1172,7,38192.85374,,13:29:23,13,29,23,34.2048,-120.1708,,,,4202,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4989,50,ASSP,12,ASSP_2004_1204,2004,38222,,1204,7,38222.95477,,15:54:52,15,54,52,34.9574,-121.4159,,,,4294,Santa Barabara Island,SABA,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4990,51,ASSP,13,ASSP_2004_1209,2004,38222,,1209,7,38222.95501,,15:55:13,15,55,13,34.8797,-121.364,,,,4555,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4967,28,ASSP,14,ASSP_2004_1255,2004,38204,,1255,7,38204.87534,,14:00:29,14,00,29,34.7331,-121.203,,,,4042,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4991,52,ASSP,15,ASSP_2004_1271,2004,38222,,1271,7,38222.95865,,16:00:27,16,00,27,34.854,-121.1752,,,,4302,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4944,5,ASSP,16,ASSP_2004_1278,2004,38194,,1278,7,38194.97516,,16:24:14,16,24,14,34.2743,-121.0853,,,,4023,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4968,29,ASSP,17,ASSP_2004_1341,2004,38204,,1341,7,38204.88051,,14:07:56,14,07,56,34.6935,-121.5157,,,,4023,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4945,6,ASSP,18,ASSP_2004_1362,2004,38194,,1362,7,38194.97976,,16:30:51,16,30,51,34.4506,-121.0304,,,,4132,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4953,14,ASSP,19,ASSP_2004_1500,2004,38202,,1500,7,38202.92838,,15:16:52,15,16,52,34.6902,-121.5865,,,,4302,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4975,36,ASSP,20,ASSP_2004_1510,2004,38220,,1510,7,38220.84569,,13:17:48,13,17,48,34.489,-121.5011,,,,4592,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
4946,7,ASSP,21,ASSP_2004_1536,2004,38194,,1536,7,38194.98986,,16:45:24,16,45,24,34.8305,-121.3737,,,,4373,Santa Rosa Island,SARO,,,,,,,,,,,josh_adams@usgs.gov,Josh Adams,,,,,,,,,
